estado,grupo,producto_normalizado,match_score,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_brand_key,nb_precio_ars,nb_stock,cg_fuente,cg_cate,cg_nombre,cg_marca,cg_precio_ars,cg_disponible,cg_url,diferencia_ars,diferencia_pct
repetido,mothers,mothers|ASUS|B850M|AM5|AM5|TUF|B850M,100.0,MOTHER ASUS,119902,TUF GAMING B850M-PLUS WIFI,MOTHER ASUS (AM5) TUF GAMING B850M-PLUS WIFI,ASUS,ASUS,324853.01,10.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING B850M-PLUS WIFI AM5 DDR5,Asus,357990.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_B850M_PLUS_WIFI_AM5_DDR5_16896?cate=26,33136.98999999999,10.20061042377289
repetido,mothers,mothers|GIGABYTE|B650|AM5|AM5|B650|AORUS|ELITE|AX,84.0,MOTHER GIGABYTE,119238,B650 A ELITE AX ICE,MOTHER GIGABYTE (AM5) B650 AORUS ELITE AX ICE,GIGABYTE                                          ,GIGABYTE,296013.75,2.0,compragamer_mothers_amd,26.0,Mother Gigabyte B850M AORUS ELITE WIFI 6E ICE AM5,Gigabyte,328500.0,True,https://compragamer.com/producto/Mother_Gigabyte_B850M_AORUS_ELITE_WIFI_6E_ICE_AM5_20155?cate=26,32486.25,10.974574660805454
repetido,mothers,mothers|ASUS|B850|AM5|AM5|TUF|B850,100.0,MOTHER ASUS,121655,TUF GAMING B850-E WIFI,MOTHER ASUS (AM5) TUF GAMING B850-E WIFI,ASUS,ASUS,321588.81,10.0,compragamer_mothers_amd,26.0,Mother ASUS TUF GAMING B850-E WIFI AM5 DDR5,Asus,353750.0,True,https://compragamer.com/producto/Mother_ASUS_TUF_GAMING_B850_E_WIFI_AM5_DDR5_18653?cate=26,32161.190000000002,10.000717997619384
repetido,mothers,mothers|GIGABYTE|B650|AM5|AM5|B650|AORUS|ELITE|AX,88.0,MOTHER GIGABYTE,117987,B650 AORUS ELITE AX,MOTHER GIGABYTE (AM5) B650 AORUS ELITE AX,GIGABYTE                                          ,GIGABYTE,317385.19,2.0,compragamer_mothers_amd,26.0,Mother Gigabyte B850 AORUS ELITE WIFI 7 AM5,Gigabyte,347850.0,True,https://compragamer.com/producto/Mother_Gigabyte_B850_AORUS_ELITE_WIFI_7_AM5_20156?cate=26,30464.809999999998,9.598686693604071
repetido,placas_video,placas_video|ASUS|RTX|5060|||PLACA|DE|RTX|5060|O8GB|EVO,82.0,PLACA DE VIDEO,122669,DUAL-RTX5060-O8G EVO,PLACA DE VIDEO ASUS DUAL RTX 5060 O8GB EVO,ASUS,ASUS,652365.88,10.0,compragamer_geforce,6.0,Placa de Video ASUS DUAL GeForce RTX 5060 8GB GDDR7 OC,Asus,681900.0,True,https://compragamer.com/producto/Placa_de_Video_ASUS_DUAL_GeForce_RTX_5060_8GB_GDDR7_OC_18426?cate=6,29534.119999999995,4.5272324788046845
repetido,placas_video,placas_video|ASUS|RTX|5080||16GB|PLACA|DE|PRIME|RTX|5080|16GB,91.0,PLACA DE VIDEO,120228,PRIME-RTX5080-O16G,PLACA DE VIDEO ASUS PRIME RTX 5080 O 16GB D7,ASUS,ASUS,2588735.78,10.0,compragamer_geforce,6.0,Placa de Video ASUS PRIME GeForce RTX 5080 16GB GDDR7 OC,Asus,2618100.0,True,https://compragamer.com/producto/Placa_de_Video_ASUS_PRIME_GeForce_RTX_5080_16GB_GDDR7_OC_17111?cate=6,29364.220000000205,1.1343073413231926
repetido,mothers,mothers|ASROCK|B850M|AM5|AM5|B850M,100.0,MOTHER ASROCK,120766,B850M PRO-A WIFI,MOTHER ASROCK (AM5) B850M PRO-A WIFI,ASROCK,ASROCK,218652.43,9.0,compragamer_mothers_amd,26.0,Mother Asrock B850M PRO-A AM5 DDR5,Asrock,246450.0,True,https://compragamer.com/producto/Mother_Asrock_B850M_PRO_A_AM5_DDR5_17612?cate=26,27797.570000000007,12.713131063761793
repetido,monitores,monitores|ASUS|24|100HZ|24|VA24EHF|FHD|IPS|100HZ|1MS,92.0,MONITORES,120317,VA24EHF-J,MONITOR 24 ASUS VA24EHF FHD IPS 100Hz 1ms,ASUS,ASUS,137682.19,5.0,compragamer_monitores,5.0,"Monitor Gamer ASUS VA24EHF-J 24"" FHD IPS 100Hz",Asus,165400.0,True,https://compragamer.com/producto/Monitor_Gamer_ASUS_VA24EHF_J_24_FHD_IPS_100Hz_16498?cate=5,27717.809999999998,20.131732361317027
repetido,memorias,memorias|16GB|DDR4|3200|CL16,59.0,MEMORIAS,122622,NTSHD4P32SP-16K,MEMORIA NETAC SHADOW III DDR4 3200 16GB C16 BLACK,NETAC ,NETAC,231408.78,10.0,compragamer_memorias,15.0,Memoria Corsair DDR4 16GB 3200MHz Vengeance RGB RS Black CL16,Corsair,258100.0,True,https://compragamer.com/producto/Memoria_Corsair_DDR4_16GB_3200MHz_Vengeance_RGB_RS_Black_CL16_15558?cate=15,26691.22,11.534229600104197
repetido,monitores,monitores|ASUS|27|100HZ|27|AS|VA27EHF|FHD|IPS|100HZ,87.0,MONITORES,119803,VA27EHF-J,MONITOR 27 ASUS AS VA27EHF FHD IPS 100Hz 1ms,ASUS,ASUS,188082.39,5.0,compragamer_monitores,5.0,"Monitor Gamer ASUS VA27EHF-J 27"" FHD IPS 100Hz",Asus,211150.0,True,https://compragamer.com/producto/Monitor_Gamer_ASUS_VA27EHF_J_27_FHD_IPS_100Hz_16499?cate=5,23067.609999999986,12.264630410109094
repetido,memorias,memorias|16GB|DDR4|3200|CL16,58.0,MEMORIAS,122624,NTSHD4P32SP-16W,MEMORIA NETAC SHADOW III DDR4 3200 16GB C16 WHITE,NETAC ,NETAC,231408.78,10.0,compragamer_memorias,15.0,Memoria Corsair DDR4 16GB 3200MHz Vengeance LPX Black CL16,Corsair,253110.0,True,https://compragamer.com/producto/Memoria_Corsair_DDR4_16GB_3200MHz_Vengeance_LPX_Black_CL16_15560?cate=15,21701.22,9.37787235212078
repetido,discos_ssd,discos_ssd|WD|1000GB|1000GB|GREEN|SN350,71.0,DISCOS SSD,118985,WDS100T2G0C,DISCO SSD M.2 1TB WD GREEN SN350 NVME,WD                                                ,WD,230094.28,10.0,compragamer_ssd,81.0,Disco Solido SSD M.2 WD 1TB Green SN350 2400MB/s NVMe PCI-E Gen3 x4,Western Digital,251550.0,True,https://compragamer.com/producto/Disco_Solido_SSD_M_2_WD_1TB_Green_SN350_2400MB_s_NVMe_PCI_E_Gen3_x4_15714?cate=81,21455.72,9.324751575745386
