estado,grupo,producto_normalizado,nb_categoria,nb_codigo,nb_id_fabricante,nb_nombre,nb_marca,nb_precio_ars,nb_stock,mexx_match_score,mexx_articulo,mexx_nombre,mexx_marca,mexx_precio_ars,mexx_disponibilidad,mexx_diferencia_ars,mexx_diferencia_pct,mexx_url,cg_match_score,cg_articulo,cg_nombre,cg_marca,cg_precio_ars,cg_disponibilidad,cg_diferencia_ars,cg_diferencia_pct,cg_url,mejor_diferencia_ars,mejor_fuente
repetido,procesadores,procesadores|AMD|RYZEN|9|9900X,PROCESADORES,119142,100-00000662WOF,PROCESADOR AMD (AM5) RYZEN 9 9900X,AMD                                               ,666633.24,10.0,88.0,24413,Procesador Amd Ryzen 9 9900X 5.6 Ghz - AM5 Sin Cooler Con Gpu,Amd,706529.0,EN STOCK,39895.76000000001,5.984664071056525,https://www.mexx.com.ar/productos-rubro/procesadores/47620-procesador-amd-ryzen-9-9900x-5.6-ghz-am5-sin-cooler-con-gpu.html,58.0,16038.0,Procesador AMD Ryzen 9 9900X 5.6GHz Turbo AM5 - No Incluye Cooler,AMD,704050.0,True,37416.76000000001,5.612795425562639,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_9900X_5_6GHz_Turbo_AM5_No_Incluye_Cooler_16038?cate=27,39895.76000000001,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|7700X,PROCESADORES,117727,100-100000591WOF,PROCESADOR AMD (AM5) RYZEN 7 7700X,AMD                                               ,510671.67,10.0,100.0,24365,Procesador Amd Ryzen 7 7700X 5.4 Ghz - AM5 Sin Cooler,Amd,530999.0,EN STOCK,20327.330000000016,3.980508650499452,https://www.mexx.com.ar/productos-rubro/procesadores/44153-procesador-amd-ryzen-7-7700x-5.4-ghz-am5-sin-cooler.html,58.0,14065.0,Procesador AMD Ryzen 7 7700X 5.4GHz Turbo AM5 - No incluye Cooler - C/VIDEO,AMD,549650.0,True,38978.330000000016,7.632757462343666,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_7700X_5_4GHz_Turbo_AM5_No_incluye_Cooler_C_VIDEO_14065?cate=27,38978.330000000016,compragamer
repetido,procesadores,procesadores|AMD|RYZEN|9|7900,PROCESADORES,118094,100-100000590WOF,PROCESADOR AMD (AM5) RYZEN 9 7900 (S/COOLER),AMD                                               ,546417.71,10.0,-,-,-,-,-,-,-,-,-,72.0,18579.0,Procesador AMD Ryzen 9 7900 5.4GHz Turbo AM5 - Sin Cooler,AMD,584610.0,True,38192.29000000004,6.989577625512913,https://compragamer.com/producto/Procesador_AMD_Ryzen_9_7900_5_4GHz_Turbo_AM5_Sin_Cooler_18579?cate=27,38192.29000000004,compragamer
repetido,procesadores,procesadores|AMD|RYZEN|7|9700X,PROCESADORES,119141,100-100001404WOF,PROCESADOR AMD (AM5) RYZEN 7 9700X,AMD                                               ,535124.81,10.0,88.0,24371,Procesador Amd Ryzen 7 9700X 5.5 Ghz - AM5 Sin Cooler Con Gpu,Amd,571979.0,EN STOCK,36854.189999999944,6.887026972268384,https://www.mexx.com.ar/productos-rubro/procesadores/47618-procesador-amd-ryzen-7-9700x-5.5-ghz-am5-sin-cooler-con-gpu.html,58.0,16037.0,Procesador AMD Ryzen 7 9700X 5.5GHz Turbo AM5 - No Incluye Cooler,AMD,536450.0,True,1325.1899999999441,0.24764129325267947,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_9700X_5_5GHz_Turbo_AM5_No_Incluye_Cooler_16037?cate=27,36854.189999999944,mexx
repetido,almacenamiento,almacenamiento|ADATA|1000GB|SU650|1000GB,DISCOS SSD,121572,ASU650SS-1TT-R,DISCO SSD ADATA SU650 2.5 1TB,ADATA,241213.65,10.0,77.0,33756,Disco Solido Ssd 1TB Adata SU650,Adata,275999.0,EN STOCK,34785.350000000006,14.42097078668641,https://www.mexx.com.ar/productos-rubro/almacenamiento/49833-disco-solido-ssd-1tb-adata-su650.html,-,-,-,-,-,-,-,-,-,34785.350000000006,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|5800XT,PROCESADORES,119139,100-100001582BOX,PROCESADOR AMD (AM4) RYZEN 7 5800XT (S/COOLER),AMD                                               ,405499.0,8.0,-,-,-,-,-,-,-,-,-,59.0,18813.0,Procesador AMD Ryzen 7 5800XT 4.8GHz Turbo AM4 - No incluye Cooler,AMD,439150.0,True,33651.0,8.298664115077965,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_5800XT_4_8GHz_Turbo_AM4_No_incluye_Cooler_18813?cate=27,33651.0,compragamer
repetido,procesadores,procesadores|AMD|RYZEN|7|5700X,PROCESADORES,116714,100-100000926WOF,PROCESADOR AMD (AM4) RYZEN 7 5700X (SIN COOLER),AMD                                               ,303891.29,10.0,100.0,24363,Procesador Amd Ryzen 7 5700X 4.6 Ghz - AM4 Sin Cooler,Amd,336489.0,EN STOCK,32597.71000000002,10.726766798745704,https://www.mexx.com.ar/productos-rubro/procesadores/42712-procesador-amd-ryzen-7-5700x-4.6-ghz-am4-sin-cooler.html,58.0,13355.0,Procesador AMD Ryzen 7 5700X 4.6GHz Turbo AM4 - No incluye Cooler,AMD,318080.0,True,14188.710000000021,4.66900844706672,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_5700X_4_6GHz_Turbo_AM4_No_incluye_Cooler_13355?cate=27,32597.71000000002,mexx
repetido,monitores,monitores|ASUS|24|100HZ|24|VA24EHF|FHD|IPS|100HZ|1MS,MONITORES,120317,VA24EHF-J,MONITOR 24 ASUS VA24EHF FHD IPS 100Hz 1ms,ASUS,137682.19,5.0,81.0,57582,"Monitor Gamer 24"" Asus Full Hd Ips 100Hz 1Ms Freesync VA24EHF-J",Asus,169969.0,EN STOCK,32286.809999999998,23.450244363486664,https://www.mexx.com.ar/productos-rubro/monitores/48432-monitor-gamer-24-asus-full-hd-ips-100hz-1ms-freesync-va24ehf-j.html,92.0,16498.0,"Monitor Gamer ASUS VA24EHF-J 24"" FHD IPS 100Hz",Asus,165400.0,True,27717.809999999998,20.131732361317027,https://compragamer.com/producto/Monitor_Gamer_ASUS_VA24EHF_J_24_FHD_IPS_100Hz_16498?cate=5,32286.809999999998,mexx
repetido,procesadores,procesadores|AMD|RYZEN|7|5700,PROCESADORES,121697,100-100000743SBX,PROCESADOR AMD (AM4) RYZEN 7 5700,AMD                                               ,224994.23,10.0,76.0,24358,Procesador Amd Ryzen 7 5700 3.7Ghz - AM4 Sin Gpu,Amd,255899.0,EN STOCK,30904.76999999999,13.735805580436436,https://www.mexx.com.ar/productos-rubro/procesadores/48270-procesador-amd-ryzen-7-5700-3.7ghz-am4-sin-gpu.html,52.0,15474.0,Procesador AMD Ryzen 7 5700 4.6GHz Turbo AM4 + Wraith Stealth Cooler,AMD,231900.0,True,6905.7699999999895,3.0693098218563155,https://compragamer.com/producto/Procesador_AMD_Ryzen_7_5700_4_6GHz_Turbo_AM4_Wraith_Stealth_Cooler_15474?cate=27,30904.76999999999,mexx
repetido,fuentes,fuentes|GIGABYTE|1000W|80 PLUS GOLD|1000W|PG5|V2|80|GOLD,FUENTES,122705,GP-UD1000GM PG5 V2,FUENTE GAMER GIGABYTE 1000W PG5 V2 80 PLUS GOLD FULL MODULAR,GIGABYTE                                          ,166077.35,10.0,92.0,69565,Fuente Gigabyte 1000W 80 Plus Gold PG5 V2 Modular,Gigabyte,196259.0,EN STOCK,30181.649999999994,18.173248790397963,https://www.mexx.com.ar/productos-rubro/fuentes-de-poder/50474-fuente-gigabyte-1000w-80-plus-gold-pg5-v2-modular.html,-,-,-,-,-,-,-,-,-,30181.649999999994,mexx
